タイムスタンプ,1. あなたは現在、大学生または大学院生ですか,2. 学年を教えてください,3. 熱海を知っていますか,4. これまでに熱海市を訪れたことがありますか,5. 熱海への旅行を検討したことがありますか,6. 今、旅行に行きたい気持ちはどのくらいですか,7. 旅行の障壁になることは何ですか（複数選択可）,8. 熱海で次にしてみたいことは何ですか（複数選択可）,9. 熱海にまた行きたいと思いますか,10. 平日に熱海を訪れることはできますか
2026/07/02 20:54:48,学部生,学部3年,名前は知っている,ある,,1 - 全く行きたくない,"お金がない, まとまった時間がない","海鮮・グルメ, カフェ巡り",1 - 全く思わない,できない
2026/06/20 22:11:39,大学院生,修士2年,よく知っている,ない,検討したことがある,4 - やや行きたい,お金がない,"温泉, 海辺の散歩, レトロな街歩き, 花火大会",,授業次第でできる
2026/07/04 16:26:10,学部生,学部1年,よく知っている,ある,検討したことがある,3 - どちらともいえない,お金がない,"温泉, 海鮮・グルメ, 海辺の散歩",5 - とても思う,できない
2026/06/30 17:06:46,学部生,学部2年,よく知っている,ない,検討したことはない,4 - やや行きたい,お金がない,"海辺の散歩, レトロな街歩き",,できない
2026/06/22 21:46:56,学部生,学部1年,よく知っている,ある,検討したことがある,1 - 全く行きたくない,"お金がない, 何ができるのか分からない","海鮮・グルメ, レトロな街歩き",5 - とても思う,できる
2026/07/05 07:19:33,学部生,学部2年,よく知っている,ある,検討したことがある,3 - どちらともいえない,"お金がない, 一緒に行く人がいない","カフェ巡り, レトロな街歩き, 花火大会",2 - あまり思わない,授業次第でできる
2026/06/29 19:10:03,学部生,学部2年,よく知っている,ある,検討したことがある,1 - 全く行きたくない,お金がない,"温泉, 海鮮・グルメ, 特にない",4 - やや思う,授業次第でできる
2026/06/22 23:36:24,学部生,学部1年,名前は知っている,ある,,5 - とても行きたい,お金がない,レトロな街歩き,5 - とても思う,できない
2026/07/05 18:29:50,学部生,学部2年,名前は知っている,ない,検討したことはない,1 - 全く行きたくない,お金がない,"海辺の散歩, カフェ巡り, 花火大会",,できない
2026/07/01 03:40:35,学部生,学部2年,名前は知っている,ない,検討したことがある,5 - とても行きたい,何ができるのか分からない,"海鮮・グルメ, カフェ巡り, 花火大会, 特にない",,できない
2026/06/29 04:07:48,大学院生,修士2年,よく知っている,ない,検討したことがある,4 - やや行きたい,"お金がない, 何ができるのか分からない","海辺の散歩, 花火大会, 特にない",,授業次第でできる
2026/06/30 23:52:56,学部生,学部1年,よく知っている,ある,,5 - とても行きたい,"まとまった時間がない, 特にない","カフェ巡り, 特にない",1 - 全く思わない,できない
2026/07/05 05:05:59,大学院生,修士1年,名前は知っている,ない,検討したことがある,5 - とても行きたい,"お金がない, まとまった時間がない","海鮮・グルメ, カフェ巡り, 特にない",,授業次第でできる
2026/06/25 16:36:40,学部生,学部4年,よく知っている,ある,検討したことがある,3 - どちらともいえない,"お金がない, 特にない",特にない,1 - 全く思わない,授業次第でできる
2026/06/25 12:43:31,学部生,学部4年,名前は知っている,ない,検討したことはない,4 - やや行きたい,"お金がない, まとまった時間がない",特にない,,できない
2026/06/23 19:08:32,学部生,学部3年,名前は知っている,ない,検討したことはない,3 - どちらともいえない,"お金がない, まとまった時間がない",カフェ巡り,,授業次第でできる
2026/06/23 02:58:58,学部生,学部4年,名前は知っている,ない,検討したことはない,1 - 全く行きたくない,一緒に行く人がいない,海辺の散歩,,授業次第でできる
2026/06/21 03:13:11,学部生,学部3年,よく知っている,ない,検討したことはない,1 - 全く行きたくない,お金がない,"温泉, 海鮮・グルメ, レトロな街歩き",,授業次第でできる
2026/06/25 11:41:07,学部生,学部4年,よく知っている,ある,,3 - どちらともいえない,お金がない,"カフェ巡り, レトロな街歩き, 特にない",1 - 全く思わない,授業次第でできる
2026/07/03 00:16:49,学部生,学部2年,よく知っている,ない,検討したことがある,5 - とても行きたい,お金がない,"海鮮・グルメ, レトロな街歩き, 特にない",,授業次第でできる
2026/07/01 20:31:45,学部生,学部1年,よく知っている,ある,検討したことがある,4 - やや行きたい,何ができるのか分からない,"温泉, カフェ巡り, 特にない",5 - とても思う,できない
2026/06/25 05:29:40,学部生,学部4年,よく知っている,ある,,5 - とても行きたい,お金がない,"海鮮・グルメ, 花火大会, 特にない",2 - あまり思わない,できない
2026/06/29 02:55:17,学部生,学部4年,よく知っている,ある,,4 - やや行きたい,"お金がない, 一緒に行く人がいない","温泉, 特にない",2 - あまり思わない,授業次第でできる
2026/06/28 00:15:23,大学院生,修士2年,よく知っている,ある,検討したことがある,4 - やや行きたい,お金がない,海鮮・グルメ,4 - やや思う,できる
2026/06/25 21:55:11,大学院生,修士2年,名前は知っている,ある,,2 - あまり行きたくない,"お金がない, まとまった時間がない, 特にない",特にない,4 - やや思う,できる
2026/07/04 08:51:35,学部生,学部2年,名前は知っている,ある,,5 - とても行きたい,"お金がない, 一緒に行く人がいない","海辺の散歩, レトロな街歩き",1 - 全く思わない,できる
2026/07/03 13:00:02,学部生,学部1年,名前は知っている,ある,検討したことがある,2 - あまり行きたくない,"お金がない, 一緒に行く人がいない",特にない,2 - あまり思わない,できない
2026/06/28 14:17:23,学部生,学部2年,よく知っている,ない,検討したことがある,5 - とても行きたい,お金がない,"レトロな街歩き, 特にない",,できる
2026/06/29 23:19:49,学部生,学部4年,名前は知っている,ある,,3 - どちらともいえない,"お金がない, 一緒に行く人がいない","海鮮・グルメ, カフェ巡り, レトロな街歩き",4 - やや思う,できる
2026/07/02 16:24:45,学部生,学部3年,よく知っている,ある,検討したことがある,4 - やや行きたい,"お金がない, 一緒に行く人がいない",温泉,4 - やや思う,できる
2026/07/02 10:04:28,学部生,学部3年,名前は知っている,ある,,5 - とても行きたい,"お金がない, 特にない","温泉, 海鮮・グルメ, カフェ巡り",4 - やや思う,できない
2026/07/03 22:45:44,学部生,学部3年,よく知っている,ある,検討したことがある,1 - 全く行きたくない,"何ができるのか分からない, 一緒に行く人がいない","温泉, 海辺の散歩, レトロな街歩き",3 - どちらともいえない,できる
2026/07/05 21:32:28,学部生,学部4年,よく知っている,ない,検討したことはない,4 - やや行きたい,"お金がない, 特にない","温泉, 海鮮・グルメ, 特にない",,できる
2026/06/21 19:38:33,学部生,学部2年,名前は知っている,ない,検討したことはない,5 - とても行きたい,"お金がない, 一緒に行く人がいない","温泉, 海鮮・グルメ, 海辺の散歩, レトロな街歩き",,できない
2026/07/04 08:42:14,学部生,学部4年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"何ができるのか分からない, 特にない","花火大会, 特にない",5 - とても思う,できない
2026/06/22 21:39:20,学部生,学部2年,名前は知っている,ある,検討したことがある,5 - とても行きたい,お金がない,"カフェ巡り, 花火大会",4 - やや思う,できない
2026/06/25 12:39:24,学部生,学部4年,よく知っている,ある,検討したことがある,3 - どちらともいえない,お金がない,"カフェ巡り, レトロな街歩き",5 - とても思う,できる
2026/06/23 14:28:38,学部生,学部1年,名前は知っている,ない,検討したことがある,4 - やや行きたい,お金がない,"温泉, 海鮮・グルメ, 海辺の散歩",,授業次第でできる
2026/06/27 02:13:38,学部生,学部1年,名前は知っている,ある,,1 - 全く行きたくない,"お金がない, まとまった時間がない","カフェ巡り, レトロな街歩き",1 - 全く思わない,授業次第でできる
2026/07/03 04:33:10,学部生,学部1年,名前は知っている,ある,,1 - 全く行きたくない,"お金がない, 何ができるのか分からない, 特にない","海鮮・グルメ, 海辺の散歩, 花火大会",4 - やや思う,できる
2026/06/21 22:46:58,大学院生,修士2年,名前は知っている,ない,検討したことがある,3 - どちらともいえない,お金がない,花火大会,,できる
2026/07/04 04:21:47,学部生,学部2年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, 何ができるのか分からない","温泉, カフェ巡り, 花火大会",1 - 全く思わない,できる
2026/06/22 13:04:46,大学院生,修士1年,よく知っている,ない,検討したことはない,2 - あまり行きたくない,"まとまった時間がない, 一緒に行く人がいない","レトロな街歩き, 花火大会, 特にない",,できる
2026/06/25 04:22:30,学部生,学部1年,よく知っている,ある,検討したことがある,4 - やや行きたい,"お金がない, 一緒に行く人がいない","温泉, 海辺の散歩, カフェ巡り, レトロな街歩き",2 - あまり思わない,できない
2026/07/03 00:21:05,学部生,学部3年,名前は知っている,ある,,1 - 全く行きたくない,"お金がない, 特にない","海辺の散歩, カフェ巡り",3 - どちらともいえない,授業次第でできる
2026/07/05 03:58:48,学部生,学部1年,名前は知っている,ある,,1 - 全く行きたくない,"お金がない, 何ができるのか分からない, 一緒に行く人がいない","温泉, 海鮮・グルメ",2 - あまり思わない,できない
2026/06/22 18:24:18,学部生,学部2年,名前は知っている,ある,検討したことがある,3 - どちらともいえない,まとまった時間がない,"温泉, 海辺の散歩",5 - とても思う,できない
2026/07/05 10:58:49,学部生,学部2年,名前は知っている,ない,検討したことがある,2 - あまり行きたくない,お金がない,"海辺の散歩, レトロな街歩き, 花火大会",,できない
2026/06/29 23:50:47,学部生,学部4年,よく知っている,ある,,1 - 全く行きたくない,"お金がない, 特にない",海辺の散歩,5 - とても思う,授業次第でできる
2026/06/25 04:35:47,学部生,学部4年,よく知っている,ある,,1 - 全く行きたくない,"お金がない, 特にない","海鮮・グルメ, 特にない",1 - 全く思わない,授業次第でできる
2026/07/03 04:49:56,学部生,学部2年,よく知っている,ある,検討したことがある,4 - やや行きたい,特にない,"温泉, 海鮮・グルメ, 花火大会",5 - とても思う,できない
2026/06/24 15:34:04,学部生,学部4年,名前は知っている,ある,,4 - やや行きたい,"まとまった時間がない, 特にない","温泉, カフェ巡り",3 - どちらともいえない,できる
2026/07/01 00:49:08,学部生,学部2年,名前は知っている,ない,検討したことがある,4 - やや行きたい,"お金がない, まとまった時間がない, 一緒に行く人がいない","カフェ巡り, レトロな街歩き",,できる
2026/07/04 23:54:08,学部生,学部3年,よく知っている,ある,検討したことがある,4 - やや行きたい,お金がない,"温泉, 海辺の散歩, カフェ巡り, 特にない",4 - やや思う,できない
2026/06/24 10:05:17,学部生,学部3年,名前は知っている,ある,,4 - やや行きたい,"お金がない, まとまった時間がない, 一緒に行く人がいない","温泉, レトロな街歩き",1 - 全く思わない,授業次第でできる
2026/06/29 16:51:50,学部生,学部1年,名前は知っている,ある,,4 - やや行きたい,"お金がない, 何ができるのか分からない, 一緒に行く人がいない","レトロな街歩き, 特にない",5 - とても思う,授業次第でできる
2026/06/27 12:06:36,学部生,学部4年,よく知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, 一緒に行く人がいない",レトロな街歩き,2 - あまり思わない,できる
2026/06/20 10:46:24,大学院生,修士2年,名前は知っている,ある,,5 - とても行きたい,"お金がない, まとまった時間がない, 何ができるのか分からない","海辺の散歩, レトロな街歩き",1 - 全く思わない,授業次第でできる
2026/06/27 02:59:17,学部生,学部1年,よく知っている,ない,検討したことがある,5 - とても行きたい,"お金がない, 何ができるのか分からない","海鮮・グルメ, カフェ巡り, 花火大会",,授業次第でできる
2026/06/20 14:28:29,学部生,学部4年,よく知っている,ある,検討したことがある,3 - どちらともいえない,何ができるのか分からない,"海鮮・グルメ, カフェ巡り",4 - やや思う,できる
2026/06/29 05:12:07,学部生,学部1年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, 一緒に行く人がいない","海鮮・グルメ, 海辺の散歩",3 - どちらともいえない,授業次第でできる
2026/06/28 06:24:22,学部生,学部3年,よく知っている,ある,検討したことがある,1 - 全く行きたくない,"お金がない, 何ができるのか分からない, 一緒に行く人がいない","カフェ巡り, レトロな街歩き, 特にない",5 - とても思う,授業次第でできる
2026/07/02 14:51:40,学部生,学部2年,名前は知っている,ない,検討したことがある,4 - やや行きたい,"お金がない, まとまった時間がない, 特にない","カフェ巡り, 花火大会",,できない
2026/06/20 04:45:12,学部生,学部3年,よく知っている,ある,,3 - どちらともいえない,"お金がない, 特にない","温泉, 海辺の散歩, 特にない",4 - やや思う,授業次第でできる
2026/07/04 23:32:00,学部生,学部4年,名前は知っている,ある,,5 - とても行きたい,"お金がない, 一緒に行く人がいない, 特にない","海辺の散歩, カフェ巡り, 花火大会",5 - とても思う,授業次第でできる
2026/06/24 23:02:50,学部生,学部4年,名前は知っている,ある,,3 - どちらともいえない,"まとまった時間がない, 何ができるのか分からない, 特にない",カフェ巡り,5 - とても思う,できない
2026/06/26 13:35:29,大学院生,修士2年,名前は知っている,ある,,2 - あまり行きたくない,"お金がない, 特にない",海辺の散歩,2 - あまり思わない,できる
2026/06/26 21:03:56,学部生,学部4年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, まとまった時間がない",レトロな街歩き,2 - あまり思わない,できる
2026/06/21 19:21:18,学部生,学部4年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, まとまった時間がない","温泉, 海辺の散歩, 特にない",5 - とても思う,できない
2026/07/01 20:51:19,大学院生,修士2年,名前は知っている,ある,,4 - やや行きたい,"お金がない, まとまった時間がない, 何ができるのか分からない",温泉,4 - やや思う,できる
2026/06/23 23:11:08,学部生,学部3年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, 一緒に行く人がいない","温泉, 海鮮・グルメ, 花火大会",3 - どちらともいえない,できない
2026/06/20 05:06:35,学部生,学部1年,よく知っている,ある,検討したことがある,4 - やや行きたい,お金がない,花火大会,4 - やや思う,できない
2026/07/05 01:32:31,学部生,学部3年,名前は知っている,ある,,3 - どちらともいえない,"お金がない, 何ができるのか分からない","温泉, カフェ巡り, 特にない",5 - とても思う,できる
2026/07/04 20:48:42,学部生,学部1年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"まとまった時間がない, 何ができるのか分からない","海辺の散歩, 花火大会, 特にない",2 - あまり思わない,授業次第でできる
2026/07/05 08:43:01,学部生,学部4年,名前は知っている,ない,検討したことがある,5 - とても行きたい,お金がない,"温泉, 海辺の散歩, カフェ巡り, 花火大会",,できる
2026/06/25 06:01:13,学部生,学部2年,名前は知っている,ない,検討したことはない,3 - どちらともいえない,何ができるのか分からない,"海鮮・グルメ, レトロな街歩き",,授業次第でできる
2026/06/25 00:38:36,学部生,学部4年,よく知っている,ある,検討したことがある,3 - どちらともいえない,"お金がない, 何ができるのか分からない, 一緒に行く人がいない","海鮮・グルメ, カフェ巡り, レトロな街歩き, 花火大会",4 - やや思う,授業次第でできる
2026/07/04 03:10:48,学部生,学部4年,よく知っている,ない,検討したことがある,5 - とても行きたい,"お金がない, 一緒に行く人がいない","海鮮・グルメ, 海辺の散歩, カフェ巡り, 花火大会",,授業次第でできる
2026/07/02 04:20:07,学部生,学部1年,名前は知っている,ない,検討したことがある,3 - どちらともいえない,お金がない,"海鮮・グルメ, 海辺の散歩, カフェ巡り",,授業次第でできる
2026/06/28 11:16:02,学部生,学部2年,よく知っている,ない,検討したことはない,3 - どちらともいえない,"お金がない, 特にない","温泉, カフェ巡り",,できる
2026/06/20 08:33:13,学部生,学部1年,名前は知っている,ある,検討したことがある,2 - あまり行きたくない,"お金がない, 特にない",海辺の散歩,5 - とても思う,できる
2026/06/27 17:24:40,学部生,学部4年,名前は知っている,ない,検討したことがある,5 - とても行きたい,"お金がない, 一緒に行く人がいない","温泉, レトロな街歩き, 特にない",,できる
2026/06/28 11:23:19,学部生,学部1年,名前は知っている,ある,検討したことがある,5 - とても行きたい,一緒に行く人がいない,"海辺の散歩, 花火大会, 特にない",2 - あまり思わない,できる
2026/06/24 17:40:38,学部生,学部2年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, 一緒に行く人がいない","海辺の散歩, カフェ巡り, 花火大会, 特にない",4 - やや思う,授業次第でできる
2026/06/21 00:39:08,学部生,学部1年,名前は知っている,ない,検討したことはない,1 - 全く行きたくない,お金がない,"海鮮・グルメ, カフェ巡り, 特にない",,授業次第でできる
2026/07/04 05:11:07,学部生,学部4年,名前は知っている,ない,検討したことがある,4 - やや行きたい,"まとまった時間がない, 特にない","海鮮・グルメ, 海辺の散歩, 花火大会, 特にない",,できる
2026/06/24 02:56:23,学部生,学部4年,名前は知っている,ある,検討したことがある,5 - とても行きたい,お金がない,"レトロな街歩き, 花火大会",1 - 全く思わない,できる
2026/07/03 23:43:24,学部生,学部1年,名前は知っている,ある,検討したことがある,5 - とても行きたい,お金がない,"海鮮・グルメ, カフェ巡り",2 - あまり思わない,できる
2026/06/22 00:11:00,学部生,学部3年,名前は知っている,ある,,2 - あまり行きたくない,お金がない,"温泉, 海辺の散歩, カフェ巡り, 特にない",5 - とても思う,できない
2026/07/02 20:34:43,学部生,学部4年,よく知っている,ある,,3 - どちらともいえない,"お金がない, 特にない","温泉, 海辺の散歩, 特にない",3 - どちらともいえない,できない
2026/06/24 15:24:40,学部生,学部3年,名前は知っている,ある,,4 - やや行きたい,お金がない,"海鮮・グルメ, 海辺の散歩, 特にない",1 - 全く思わない,できる
2026/07/05 18:03:44,学部生,学部1年,よく知っている,ある,検討したことがある,1 - 全く行きたくない,"まとまった時間がない, 何ができるのか分からない, 特にない","温泉, 海辺の散歩, レトロな街歩き, 特にない",1 - 全く思わない,授業次第でできる
2026/06/26 01:35:57,学部生,学部3年,名前は知っている,ある,,5 - とても行きたい,"お金がない, 何ができるのか分からない, 特にない","海辺の散歩, カフェ巡り, レトロな街歩き, 特にない",5 - とても思う,授業次第でできる
2026/06/27 04:38:58,大学院生,修士1年,名前は知っている,ない,検討したことがある,5 - とても行きたい,"お金がない, 何ができるのか分からない",レトロな街歩き,,授業次第でできる
2026/06/20 16:32:50,学部生,学部4年,よく知っている,ない,検討したことがある,5 - とても行きたい,お金がない,"海鮮・グルメ, 海辺の散歩, カフェ巡り",,できる
2026/06/22 17:12:56,学部生,学部2年,よく知っている,ある,検討したことがある,4 - やや行きたい,"お金がない, 何ができるのか分からない, 特にない","レトロな街歩き, 花火大会, 特にない",2 - あまり思わない,できない
2026/06/30 08:42:14,学部生,学部3年,よく知っている,ある,検討したことがある,2 - あまり行きたくない,"お金がない, まとまった時間がない","温泉, 海辺の散歩, 特にない",4 - やや思う,できない
2026/06/30 21:48:33,学部生,学部3年,よく知っている,ある,検討したことがある,4 - やや行きたい,お金がない,"海鮮・グルメ, 海辺の散歩",2 - あまり思わない,できない
2026/06/30 22:48:29,学部生,学部3年,よく知っている,ない,検討したことはない,4 - やや行きたい,お金がない,"カフェ巡り, レトロな街歩き, 花火大会",,できない
2026/07/01 08:12:56,学部生,学部1年,名前は知っている,ある,検討したことがある,4 - やや行きたい,"お金がない, まとまった時間がない","海鮮・グルメ, 特にない",4 - やや思う,できる
2026/06/28 13:43:35,学部生,学部2年,よく知っている,ない,検討したことがある,5 - とても行きたい,お金がない,"温泉, 海辺の散歩, レトロな街歩き",,できない
2026/06/22 17:23:11,大学院生,修士1年,名前は知っている,ある,検討したことがある,1 - 全く行きたくない,"お金がない, まとまった時間がない, 一緒に行く人がいない","海辺の散歩, カフェ巡り, レトロな街歩き, 特にない",4 - やや思う,できない
2026/07/01 07:44:14,学部生,学部1年,名前は知っている,ある,,2 - あまり行きたくない,"お金がない, 特にない","温泉, 海鮮・グルメ, 海辺の散歩, 花火大会",2 - あまり思わない,授業次第でできる
